rank,phrase,quote_id,avatar,charge,slot,desire,angle,tag,owned,corpus,tier
1,"I was afraid to ever try again, but eventually I did",Q-B-0004,AV-01,5,cta,MD-04,AN-05,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
2,still no sales. i've got ~600 clicks,Q-F-0019,AV-01,5,hook,MD-04,AN-06,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
3,Ive had 2 stores on Shopify both failed,Q-F-9004,AV-01,5,hook,MD-04,AN-05,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
4,"the product did not sell, so I had to close the store",Q-O-0108,AV-01,5,hook,MD-04,AN-05,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
5,i got zero sales which means i lost 254 dollars,Q-Y-0014,AV-01,5,hook,MD-04,AN-06,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
6,it's extremely discouraging and it just makes you want to give up,Q-Y-0031,AV-01,5,story,MD-04,AN-05,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
7,pure loss of money of time of energy of honestly hope,Q-Y-0047,AV-01,5,story,MD-04,AN-05,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
8,i had to give up or else i would literally lose all my money,Q-Y-0049,AV-01,5,story,MD-01,AN-07,[MKT-LANG],N,MARKET_VOC,[R-SCRAPE]
9,"now I can't access it, contact an administrator which should be me",Q-F-0001,AV-02,5,hook,MD-04,AN-13,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
10,your store is half-ass done,Q-F-0002,AV-02,5,hook,MD-04,AN-13,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
11,"they said they would build a store, but i am building the store???",Q-F-0004,AV-02,5,hook,MD-04,AN-13,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
12,"I gave somebody $4,500, and they took my money",Q-O-0062,AV-02,5,story,MD-01,AN-15,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
13,"soon after I launched my store, the nightmare began.",Q-B-8301,AV-03,5,story,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
14,tons of links that are like a snowstorm of information,Q-F-0006,AV-03,5,hook,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
15,I'm tech savvy and competent. I cannot find a simple step by step,Q-F-0012,AV-03,5,hook,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
16,I've spent 10 weeks on simple tasks,Q-F-0013,AV-03,5,hook,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
17,"When the store was transferred to me, the store was shutdown almost immediately",Q-F-0018,AV-03,5,story,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
18,I'm left wondering if I just flushed the money and time down the drain,Q-F-0018,AV-03,5,story,MD-04,AN-16,[MKT-LANG],N,MARKET_VOC,[R-PAGE via Exa]
19,"I developed one, but I never launched it. That's the problem.",Q-O-0153,AV-03,5,story,MD-04,AN-17,[MKT-LANG],Y,OWNED_PROOF,[R-OWNED]
