"Rank","Advertiser network","Page identity","Ad ID","Direct GetHookd link","Status","Days active","Performance classification","Format","Hook","Concept","Big Idea","Desire","Pain","Failed solutions","Mechanism","Story structure","Proof","Awareness stage","Funnel destination","Validation notes","im_id","nw_id","page_identity","brand_id","ad_id","external_ad_id","share_url","status","days_active","start_date","end_date","longevity_label","performance_score","performance_title","used_count","variants_count","reuse","eu_total_reach","ad_spend_range","countries","landing_page","landing_page_slug","destination_domain","page_type","funnel_destination","tier","display_format","word_count","video_seconds","narrator_pov","native_creative_description","transcript_status","hook_verbatim","hook_pattern","concept","concept_key","big_idea","surface_problem","product_outcome_promised","desire_sold","desire_wording_used","desire_laddered","emotional_conflict","negative_mirror","pain_layers","failed_solutions_named","mechanism","mechanism_why_persists","mechanism_why_attempts_failed","mechanism_why_different","stated_cause","stated_fix","handle","named_ingredient_or_feature","story_structure","product_reveal_position","proof_forms","awareness_entry","assumed_knowledge","offer_price","offer_guarantee","offer_bundles","offer_subscription","offer_primary_promise","offer_main_offer","competitor_claimed","avatar_addressed","avatar_evidence","age_audience_min","age_audience_max","gender_audience","cls_who_in_ad","cls_angle","cls_story_type","cls_expert_type","cp_ids","pb_ids","bucket","swipe_candidate","partial_id","partial_im_id","partial_concept_key","merge_note","im_merged_note"
"1","NW-01 (Ecom Degree University)","Ecom Degree University","121358569","https://app.gethookd.ai/share/ad/121358569","inactive","70","NULL (rotated out - LOSER of pair PAIR-05-01)","video, 71s","REPORT: A growing wave of young adults is cashing in on a hidden Walmart income loophole","shared DCO body; video content NOT OPENED (transcript not requested this scope)","Walmart 2026 = Amazon 2015, move now before saturation","NULL - not opened","NULL - not opened","NULL - not opened","NULL - not opened","coded from body+CTA only","NULL - not opened","Unaware/Problem-aware [D from shared body]","MSL->squeeze_page->(offline sales)->paid enrollment","BORDERLINE: video NOT OPENED (transcript not requested, budget spent on other 5 transcriptions); coded from ad body + CTA type only.","IM-01","NW-01","Ecom Degree University","6294245","121358569","1379820704072327","https://app.gethookd.ai/share/ad/121358569","inactive","70","2026-07-07","2026-09-14","PROVEN","NULL","NULL","1","2","Y","NULL","NULL","US","https://join.ecomdegree.com/","/","join.ecomdegree.com","landing_page","MSL->squeeze_page->(offline sales)->paid enrollment","[R-TOOL]","video, 71s","71","NULL","NULL - not opened","NOT OPENED (transcript not requested)","not_requested","REPORT: A growing wave of young adults is cashing in on a hidden Walmart income loophole","advertorial 'report' teaser","shared DCO body; video content NOT OPENED (transcript not requested this scope)","CO-01","Walmart 2026 = Amazon 2015, move now before saturation","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","[D from shared body] saturated Amazon/Shopify vs wide-open Walmart","NULL","NULL","NULL","coded from body+CTA only","NULL","NULL - not opened","Unaware/Problem-aware [D from shared body]","NULL","FREE (webinar)","NOT STATED IN AD","NOT STATED IN AD","NOT STATED IN AD","$5K-$10K/month","Free Walmart Passive Income Webinar registration","COMPETITOR-CLAIMED","young adult / side-hustle seeker [D from shared body]","TITLE-BODY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CP-01","PB-02","BORDERLINE","N","NW-NEW-SEED-05","IM-02","CO-08","NULL","renamed NW-NEW-SEED-05:IM-02 -> IM-01"
"2","NW-01 (Ecom Degree University)","Ecom Degree University","126787289","https://app.gethookd.ai/share/ad/126787289","active","68","Winning (100) - WINNER of pair PAIR-05-01","video, 12s","REPORT: A growing wave of young adults is cashing in on a hidden Walmart income loophole","shared DCO body; 12s cutdown, no narrative room","Walmart 2026 = Amazon 2015","NULL","NULL","NULL","NULL","NON-STORY: short direct-response registration cutdown","NULL","Unaware/Problem-aware [D]","MSL->squeeze_page->(offline sales)->paid enrollment","NON-STORY bucket; WINNER half of PAIR-05-01 (see §14).","IM-02","NW-01","Ecom Degree University","6294245","126787289","2169001933643484","https://app.gethookd.ai/share/ad/126787289","active","68","2026-07-19","2026-09-23","PROVEN","100","Winning","1","1","Y","NULL","NULL","US","https://join.ecomdegree.com/","/","join.ecomdegree.com","landing_page","MSL->squeeze_page->(offline sales)->paid enrollment","[R-TOOL]","video, 12s","12","NULL","none/brand","short title-card cutdown","not_requested","REPORT: A growing wave of young adults is cashing in on a hidden Walmart income loophole","NULL","shared DCO body; 12s cutdown, no narrative room","CO-01","Walmart 2026 = Amazon 2015","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NON-STORY: short direct-response registration cutdown","NULL","NULL","Unaware/Problem-aware [D]","NULL","FREE (webinar)","NOT STATED IN AD","NOT STATED IN AD","NOT STATED IN AD","$5K-$10K/month","Free Walmart Passive Income Webinar registration","COMPETITOR-CLAIMED","young adult / side-hustle seeker [D]","TITLE-BODY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CP-01","PB-02","NON-STORY","N","NW-NEW-SEED-05","IM-04","CO-08","NULL","renamed NW-NEW-SEED-05:IM-04 -> IM-02"
"3","NW-01 (Ecom Degree University)","Ecom Degree University","121358672","https://app.gethookd.ai/share/ad/121358672","inactive","63","NULL (rotated out)","video, 192s","If you make less than $50 an hour, you should keep watching this ad","Founder VSL: cockroach-gel wholesale math + Connor before/after proof","Walmart in 2026 is a wide-open, low-competition version of Amazon in 2015; resell trusted brands, don't invent your own","make more money than my job pays, without inventing my own product","stuck earning hourly wages with no leverage; job ceiling","NONE NAMED (targets never-yet-started sellers)","why_persists: most chase saturated Amazon/Shopify; why_attempts_failed: N/A (no failed-attempt framing); why_different: Walmart under-supplied (200M buyers/<200K sellers) + Walmart handles fulfillment","1)wage hook 2)product example 3)market-size claim 4)supplier price 5)profit math 6)fulfillment claim 7)credibility 8)Connor proof 9)2nd product math 10)resell-not-invent reframe 11)age-range claim 12)CTA","personal metrics (buy $13/sell $24); outside observer (Connor, filmed); statistics (70k bought/mo, 200M/<200K sellers)","Problem-aware","MSL->squeeze_page(free webinar)->(offline sales)->paid enrollment","Coded HYBRID (not STRICT): opens as direct wage-comparison pitch, not a personal lived-struggle scene; Connor proof-story is a secondary insert.","IM-03","NW-01","Ecom Degree University","6294245","121358672","1577960910515042","https://app.gethookd.ai/share/ad/121358672","inactive","63","2026-07-14","2026-09-14","PROVEN","NULL","NULL","1","2","Y","NULL","NULL","US","https://join.ecomdegree.com/","/","join.ecomdegree.com","landing_page","MSL->squeeze_page(free webinar)->(offline sales)->paid enrollment","[R-TOOL]","video, 192s","192","NULL","personal","talking-head founder VSL + filmed customer visit","available","If you make less than $50 an hour, you should keep watching this ad","wage-comparison direct challenge","Founder VSL: cockroach-gel wholesale math + Connor before/after proof","CO-02","Walmart in 2026 is a wide-open, low-competition version of Amazon in 2015; resell trusted brands, don't invent your own","stuck earning hourly wages with no leverage","repeatable wholesale-to-Walmart profit model via free training","make more money than my job pays, without inventing my own product","make more money... than you currently make working at your job","financial independence from hourly-wage work","dismissing job ceiling vs believing a stranger's ad math","Connor working at Ace Hardware","functional;identity","NONE","NULL","most chase saturated Amazon/Shopify","N/A - not addressed","Walmart under-supplied + Walmart handles fulfillment","sellers overlook Walmart, focus on Amazon/Shopify","resell trusted brand-name products, Walmart-fulfilled","Walmart Seller Program / WFS","unnamed AI product-finder tool (='Scan To Profits' on LP)","1)wage hook 2)product example 3)market-size claim 4)supplier price 5)profit math 6)fulfillment claim 7)credibility 8)Connor proof 9)2nd product math 10)resell-not-invent reframe 11)age-range claim 12)CTA","~4% of runtime [D]","personal metrics (buy $13/sell $24); outside observer (Connor, filmed); statistics (70k bought/mo, 200M/<200K sellers)","Problem-aware","Walmart seller program; wholesale price; AI product tools","FREE (webinar)","NOT STATED IN AD","NOT STATED IN AD","NOT STATED IN AD","$5K-$10K/month","Free Walmart Passive Income Webinar registration","COMPETITOR-CLAIMED","hourly-wage worker in a low-ceiling job","TRANSCRIPT","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CP-01;CP-03","PB-02;PB-05","COPY-STRICT/CREATIVE-HYBRID","N","NW-NEW-SEED-05","IM-01","CO-01","NULL","renamed NW-NEW-SEED-05:IM-01 -> IM-03"
"4","NW-01 (Ecom Degree University)","Ecom Degree University","134426761","https://app.gethookd.ai/share/ad/134426761","active","60","Winning (100)","video, 17s","REPORT: A growing wave of young adults is cashing in on a hidden Walmart income loophole","shared DCO body; 17s cutdown, no narrative room","Walmart 2026 = Amazon 2015","NULL","NULL","NULL","NULL","NON-STORY: short direct-response registration cutdown","NULL","Unaware/Problem-aware [D]","MSL->squeeze_page->(offline sales)->paid enrollment","NON-STORY bucket; 17s carries no story arc.","IM-04","NW-01","Ecom Degree University","6294245","134426761","1655613955508516","https://app.gethookd.ai/share/ad/134426761","active","60","2026-07-27","2026-09-23","PROVEN","100","Winning","2","1","Y","NULL","NULL","US","https://join.ecomdegree.com/","/","join.ecomdegree.com","landing_page","MSL->squeeze_page->(offline sales)->paid enrollment","[R-TOOL]","video, 17s","17","NULL","none/brand","short title-card cutdown","not_requested","REPORT: A growing wave of young adults is cashing in on a hidden Walmart income loophole","NULL","shared DCO body; 17s cutdown, no narrative room","CO-01","Walmart 2026 = Amazon 2015","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NON-STORY: short direct-response registration cutdown","NULL","NULL","Unaware/Problem-aware [D]","NULL","FREE (webinar)","NOT STATED IN AD","NOT STATED IN AD","NOT STATED IN AD","$5K-$10K/month","Free Walmart Passive Income Webinar registration","COMPETITOR-CLAIMED","young adult / side-hustle seeker [D]","TITLE-BODY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CP-01","PB-02","NON-STORY","N","NW-NEW-SEED-05","IM-03","CO-08","NULL","renamed NW-NEW-SEED-05:IM-03 -> IM-04"
"5","NW-01 (Ecom Degree University)","Ecom Degree University","134427111","https://app.gethookd.ai/share/ad/134427111","active","60","Growing (66)","video, 10s","POV: How life looks when you sell products on Walmart while everyone else is still on Amazon","first-person POV jet-ski lifestyle-flex shot","same market-timing big idea, delivered as a POV lifestyle-flex","NULL","NULL","NULL","NULL","NON-STORY: lifestyle-flex POV, no narrative arc","NULL","Unaware (cold lifestyle-flex open)","MSL->squeeze_page->(offline sales)->paid enrollment","NON-STORY; shares CO-08's written body family.","IM-05","NW-01","Ecom Degree University","6294245","134427111","2031756847442552","https://app.gethookd.ai/share/ad/134427111","active","60","2026-07-27","2026-09-23","PROVEN","66","Growing","1","1","Y","NULL","NULL","US","https://join.ecomdegree.com/","/","join.ecomdegree.com","landing_page","MSL->squeeze_page->(offline sales)->paid enrollment","[R-TOOL]","video, 10s","10","NULL","none (POV, no face)","first-person POV jet-ski shot, on-screen caption","not_requested","POV: How life looks when you sell products on Walmart while everyone else is still on Amazon","NULL","first-person POV jet-ski lifestyle-flex shot","CO-01","same market-timing big idea, delivered as a POV lifestyle-flex","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NON-STORY: lifestyle-flex POV, no narrative arc","NULL","NULL","Unaware (cold lifestyle-flex open)","NULL","FREE (webinar)","NOT STATED IN AD","NOT STATED IN AD","NOT STATED IN AD","$5K-$10K/month","Free Walmart Passive Income Webinar registration","COMPETITOR-CLAIMED","young adult, competitive/status-driven","TITLE-BODY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CP-01","PB-02;PB-07","NON-STORY","N","NW-NEW-SEED-05","IM-13","CO-08","NULL","renamed NW-NEW-SEED-05:IM-13 -> IM-05"
"6","NW-01 (Ecom Degree University)","Ecom Degree University","134426818","https://app.gethookd.ai/share/ad/134426818","active","60","Growing (66)","video, 46s","EXPOSED - Ecom expert exposes the top 10 products to sell on Walmart (And why it beats selling on Amazon)","webinar-recording-style clip, presenter addresses a Zoom-grid audience, numbered product/profit list","you don't need your own product - resell what already sells, with concrete numbers (same list as IM-05, verbatim identical figures)","NULL","NULL","NULL","NULL","NON-STORY: recorded-webinar excerpt / proof-list","personal metrics: 10 named products x specific $/mo figures (identical to IM-05)","Solution-aware","MSL->squeeze_page->(offline sales)->paid enrollment","NON-STORY; transcript PENDING - coded from on-screen captions (identical list to IM-05, confirming CO-02 replication).","IM-06","NW-01","Ecom Degree University","6294245","134426818","1391456379539404","https://app.gethookd.ai/share/ad/134426818","active","60","2026-07-27","2026-09-23","PROVEN","66","Growing","1","1","Y","NULL","NULL","US","https://join.ecomdegree.com/","/","join.ecomdegree.com","landing_page","MSL->squeeze_page->(offline sales)->paid enrollment","[R-TOOL]","video, 46s","46","NULL","expert/brand","webinar-recording clip, presenter + video-call-grid audience, 'EXPOSED' banner","pending","EXPOSED - Ecom expert exposes the top 10 products to sell on Walmart (And why it beats selling on Amazon)","NULL","webinar-recording-style clip, presenter addresses a Zoom-grid audience, numbered product/profit list","CO-03","you don't need your own product - resell what already sells, with concrete numbers (same list as IM-05, verbatim identical figures)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NON-STORY: recorded-webinar excerpt / proof-list","NULL","personal metrics: 10 named products x specific $/mo figures (identical to IM-05)","Solution-aware","NULL","FREE (webinar)","NOT STATED IN AD","NOT STATED IN AD","NOT STATED IN AD","$5K-$10K/month","Free Walmart Passive Income Webinar registration","COMPETITOR-CLAIMED","aspiring reseller wanting concrete proof","TITLE-BODY;PAGE-NAME","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CP-01;CP-05","PB-02;PB-05","NON-STORY","N","NW-NEW-SEED-05","IM-14","CO-02","NULL","renamed NW-NEW-SEED-05:IM-14 -> IM-06"
"7","NW-01 (Ecom Degree University)","Ecom Degree University","134426835","https://app.gethookd.ai/share/ad/134426835","active","57","Optimized (86)","video, 102s","did you just... just fell!","comedic kitchen coffee-spill pattern-interrupt; bridge to pitch NOT OPENED","[D] scroll-stopping cold-open before the same core pitch","NULL","NULL","NULL","NULL","BORDERLINE: pure pattern-interrupt visible, no argument content yet","NULL - not opened","Unaware (cold pattern-interrupt open)","MSL->squeeze_page->(offline sales)->paid enrollment","BORDERLINE; transcript PENDING - bridge/pitch content NOT OPENED, not invented.","IM-07","NW-01","Ecom Degree University","6294245","134426835","1044716741497150","https://app.gethookd.ai/share/ad/134426835","active","57","2026-07-30","2026-09-23","PROVEN","86","Optimized","1","1","N","NULL","NULL","US","https://join.ecomdegree.com/","/","join.ecomdegree.com","landing_page","MSL->squeeze_page->(offline sales)->paid enrollment","[R-TOOL]","video, 102s","102","NULL","personal","pattern-interrupt: coffee pour, reaction, comedic fall","pending","did you just... just fell!","NULL","comedic kitchen coffee-spill pattern-interrupt; bridge to pitch NOT OPENED","CO-04","[D] scroll-stopping cold-open before the same core pitch","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","BORDERLINE: pure pattern-interrupt visible, no argument content yet","NULL","NULL - not opened","Unaware (cold pattern-interrupt open)","NULL","FREE (webinar)","NOT STATED IN AD","NOT STATED IN AD","NOT STATED IN AD","$5K-$10K/month","Free Walmart Passive Income Webinar registration","COMPETITOR-CLAIMED","broad/undifferentiated - no visible demographic signal","TITLE-BODY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PB-02","BORDERLINE","N","NW-NEW-SEED-05","IM-07","CO-04","NULL","renamed NW-NEW-SEED-05:IM-07 -> IM-07"
"8","NW-01 (Ecom Degree University)","Ecom Degree University","144205353","https://app.gethookd.ai/share/ad/144205353","active","48","Optimized (81)","video, 125s","The Next Online Gold Rush","two-host podcast/interview + luxury-car (Rolls-Royce) wealth-signaling B-roll","Walmart 2026 = Amazon 2015, delivered via podcast-interview credibility framing","NULL","NULL","NULL","NULL","BORDERLINE: transcript pending, format is interview not coded story","outside observer (2-host interview); demonstration (luxury car, COMPETITOR-CLAIMED not verified income)","Problem/Solution-aware boundary","MSL->squeeze_page->(offline sales)->paid enrollment","BORDERLINE; transcript PENDING - coded from on-screen caption only.","IM-08","NW-01","Ecom Degree University","6294245","144205353","1369461064611979","https://app.gethookd.ai/share/ad/144205353","active","48","2026-08-08","2026-09-23","PROVEN","81","Optimized","1","1","Y","NULL","NULL","US","https://join.ecomdegree.com/","/","join.ecomdegree.com","landing_page","MSL->squeeze_page->(offline sales)->paid enrollment","[R-TOOL]","video, 125s","125","NULL","two-person podcast/interview","podcast set intercut with Rolls-Royce B-roll","pending","The Next Online Gold Rush","NULL","two-host podcast/interview + luxury-car (Rolls-Royce) wealth-signaling B-roll","CO-05","Walmart 2026 = Amazon 2015, delivered via podcast-interview credibility framing","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","BORDERLINE: transcript pending, format is interview not coded story","NULL","outside observer (2-host interview); demonstration (luxury car, COMPETITOR-CLAIMED not verified income)","Problem/Solution-aware boundary","NULL","FREE (webinar)","NOT STATED IN AD","NOT STATED IN AD","NOT STATED IN AD","$5K-$10K/month","Free Walmart Passive Income Webinar registration","COMPETITOR-CLAIMED","wealth/status-motivated aspirational viewer","TITLE-BODY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CP-01;CP-02","PB-02;PB-07","BORDERLINE","N","NW-NEW-SEED-05","IM-06","CO-03","NULL","renamed NW-NEW-SEED-05:IM-06 -> IM-08"
"9","NW-01 (Ecom Degree University)","Ecom Degree University","159706760","https://app.gethookd.ai/share/ad/159706760","active","31","Optimized (81)","video, 55s","10 Everyday Walmart Products I Used to Quit My 9-5 For Good","numbered list of 10 household products w/ claimed monthly profit each (podcast-interview clip)","you don't need your own product - resell what already sells, with concrete numbers","quit the 9-to-5","NULL","NULL","NULL","NON-STORY: numbered proof-list, not a narrative","personal metrics: 10 named products x specific $/mo figures","Solution-aware","MSL->squeeze_page->(offline sales)->paid enrollment","NON-STORY; transcript PENDING (queued, not completed) - coded from on-screen captions only.","IM-09","NW-01","Ecom Degree University","6294245","159706760","1064880362796025","https://app.gethookd.ai/share/ad/159706760","active","31","2026-08-25","2026-09-23","LIKELY","81","Optimized","3","1","Y","NULL","NULL","US","https://join.ecomdegree.com/","/","join.ecomdegree.com","landing_page","MSL->squeeze_page->(offline sales)->paid enrollment","[R-TOOL]","video, 55s","55","NULL","two-person podcast/interview","interview clip + scrolling numbered product/profit list overlay","pending","10 Everyday Walmart Products I Used to Quit My 9-5 For Good","NULL","numbered list of 10 household products w/ claimed monthly profit each (podcast-interview clip)","CO-03","you don't need your own product - resell what already sells, with concrete numbers","NULL","NULL","quit the 9-to-5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NON-STORY: numbered proof-list, not a narrative","NULL","personal metrics: 10 named products x specific $/mo figures","Solution-aware","no unit-economics shown for the $/mo figures","FREE (webinar)","NOT STATED IN AD","NOT STATED IN AD","NOT STATED IN AD","$5K-$10K/month","Free Walmart Passive Income Webinar registration","COMPETITOR-CLAIMED","aspiring reseller wanting concrete proof","TITLE-BODY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CP-01;CP-05","PB-02;PB-05","NON-STORY","N","NW-NEW-SEED-05","IM-05","CO-02","NULL","renamed NW-NEW-SEED-05:IM-05 -> IM-09"
"10","NW-01 (Ecom Degree University)","Ecom Degree University","169343657","https://app.gethookd.ai/share/ad/169343657","active","24","Scaling (41)","video, 19s","The biggest lie in business? 'You need your own product.'","direct myth-busting claim: resell Apple/Pampers/LEGO/CeraVe, no ads/followers/warehouse needed","market-timing big idea delivered as a contrarian claim, not a story","freedom from needing capital/inventory/a brand","belief that you need your own product/brand to start a business","NULL","NULL","NON-STORY: direct-response claims list","NULL","Unaware->Problem-aware (names and rejects a belief)","MSL->squeeze_page->(offline sales)->paid enrollment","NON-STORY.","IM-10","NW-01","Ecom Degree University","6294245","169343657","1789069979206910","https://app.gethookd.ai/share/ad/169343657","active","24","2026-09-01","2026-09-23","LIKELY","41","Scaling","1","1","N","NULL","NULL","US","https://join.ecomdegree.com/","/","join.ecomdegree.com","landing_page","MSL->squeeze_page->(offline sales)->paid enrollment","[R-TOOL]","video, 19s","19","NULL","brand/text-card","static text-card claims over b-roll","not_requested","The biggest lie in business? 'You need your own product.'","NULL","direct myth-busting claim: resell Apple/Pampers/LEGO/CeraVe, no ads/followers/warehouse needed","CO-06","market-timing big idea delivered as a contrarian claim, not a story","belief that you need your own product/brand","NULL","freedom from needing capital/inventory/a brand","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","the 'biggest lie' is that you need your own product","resell trusted existing brands","NULL","NULL","NON-STORY: direct-response claims list","NULL","NULL","Unaware->Problem-aware (names and rejects a belief)","reader already associates business-starting with needing your own product","FREE (webinar)","NOT STATED IN AD","NOT STATED IN AD","NOT STATED IN AD","$5K-$10K/month","Free Walmart Passive Income Webinar registration","COMPETITOR-CLAIMED","product-ideation-anxious, deterred by the 'need your own product' belief","TITLE-BODY","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CP-05","PB-05","NON-STORY","N","NW-NEW-SEED-05","IM-08","CO-05","NULL","renamed NW-NEW-SEED-05:IM-08 -> IM-10"
