"IM-##","NW-##","days_active","status","used_count","performance_score","performance_title","lever","evidence_line","product_reveal_position","ltv_rich","rank","counted","ad_id","page_identity","network_type","scale","headline","lever_basis","sampling_tier","pb_ids","body_source"
"IM-02@NW-NEW-SEED-04","NW-NEW-SEED-04","540","inactive","1 (+DCO 140 cards/39 media; 41256434 used 2)","NULL","NULL (inactive)","EFS","Our stores are seeing almost double the return then on Amazon","WITHHELD — offer never named in body (100%)","N (UNSIZED)","1","Y","41256421 (sibling 41256434)","Ecom Accelerator","BRAND (managed/profit-share)","UNSIZED","Want My Team To Build You An e-Commerce Business?","names a new vehicle (new platform) and enlarges it over the old one (double the Amazon return)","A >=45d","PB-07;PB-02","02 IM-02 + search_ads inactive"
"IM-03@NW-NEW-SEED-04","NW-NEW-SEED-04","519","inactive","1 (+6 collapsed; 41256429 used 2, 40 media)","NULL","NULL (inactive)","MECHANISM","Top Economists Are Referring To THIS As “Amazon’s New Rival”","63% of body words","N (UNSIZED)","2","Y","41256428 (sibling 41256429)","Ecom Accelerator","BRAND (managed/profit-share)","UNSIZED","Want My Team To Build You An e-Commerce Business?","names a new vehicle (unnamed blue-ocean platform) via authority; no easier/faster/surer comparison in the lead","A >=45d","PB-07;PB-02","02 IM-03 + search_ads inactive"
"NEW-07S (not in 02)","NW-NEW-SEED-04","441","inactive","1","NULL","NULL (inactive)","ENLARGED-CLAIM","My team will build you an e-Commerce business in as little as 14 days.","5% of body words","N (UNSIZED)","3","Y","41256422","Ecom Accelerator","BRAND (managed/profit-share)","UNSIZED","Want My Team To Build You An e-Commerce Business?","category promise (a team builds it), time-bound; mechanism only in line 3","A >=45d","PB-07;PB-02","search_ads inactive"
"NEW-07S (not in 02)","NW-NEW-SEED-04","294","inactive","1","NULL","NULL (inactive)","CLAIM","find a way to make money while you sleep","WITHHELD — offer never named in body (100%)","N (UNSIZED)","4","Y","58381757","Ecom Accelerator","BRAND (managed/profit-share)","UNSIZED","Want My Team To Build You An e-Commerce Business?","borrowed-authority desire lead (Buffett quote), no how, no quantifier; S5-disguise check: not identity","A >=45d","PB-07;PB-02","search_ads inactive"
"IM-01@NW-NEW-SEED-01","NW-NEW-SEED-01","271","inactive — NW DORMANT","1 (+>=25 DCO variants @232-271d)","NULL","NULL (inactive)","ENLARGED-CLAIM","$20 Done for you eCommerce Store","37% of body words","N (UNSIZED)","5","Y","70486040 (IM-01 = 70823628)","Ecom Websites","BRAND (DORMANT)","UNSIZED","$20 Done for you eCommerce Store 💰","price-anchored category promise in the headline; lines 1-2 are recognition only","A >=45d","PB-01;PB-05","02 IM-01 + search_ads inactive"
"IM-02..07,13,14@NW-NEW-SEED-05","NW-NEW-SEED-05","179","inactive (twins active @175/140/68d)","1 (>=13 ad ids share this body)","NULL (twins 74/100)","NULL (twins Growing/Winning)","EFS","While most people are still chasing saturated Amazon or Shopify side hustles","66% of body words","N","6","Y","85639337 (active twin 89404596 @175d)","Will Rivera (Ecom Degree NW)","EDUCATION","ABOVE-FLOOR","[FREE] Live Training - Secure Your Seat","names a new vehicle (hidden Walmart loophole) and enlarges it over the old ones (saturated vs wide open, $5k-$10k/mo)","A >=45d","PB-02","02 IM-02..04 + search_ads 118898/6294245"
"NEW-07S (not in 02)","NW-NEW-SEED-05","179","inactive","1","NULL","NULL (inactive)","EFS","a Walmart income model that quietly outpaces their traditional salaries, without quitting their careers","76% of body words","N","7","Y","85639324","Will Rivera (Ecom Degree NW)","EDUCATION","ABOVE-FLOOR","[FREE] Live Training - Secure Your Seat","names the vehicle and enlarges it (outpaces salaries, without quitting)","A >=45d","PB-02","search_ads inactive"
"NEW-07S (not in 02)","NW-NEW-SEED-05","137","active","1","81","Optimized","MECHANISM","How To Sell Name Brand Products On Walmart & Make $5K-$10K/Month","4% of body words","N","8","Y","98804125","Will Rivera (Ecom Degree NW)","EDUCATION","ABOVE-FLOOR","Free Live Training This Sunday — Limited Spots","names the how (resell name brands on Walmart) + quantified outcome, no comparison","A >=45d","PB-02;PB-05","search_ads active"
"IM-01@NW-NEW-SEED-04","NW-NEW-SEED-04","119","active","1 (+5 same-body @103-119d; +2 price-test @21-22d)","1 (best twin 100)","Testing (best twin Winning)","ENLARGED-CLAIM","My team will build you an e-Commerce business in as little as 30 days","7% of body words","N (UNSIZED)","9","Y","103675232","Ecom Accelerator","BRAND (managed/profit-share)","UNSIZED","Want My Team To Build You An e-Commerce Business?","capital call-out + time-bound category promise; the how (TikTok, profit share) after line 2","A >=45d","PB-07;PB-02;PB-05;PB-01","02 IM-01 + search_ads active"
"NEW-07S (not in 02)","NW-NEW-SEED-04","119","active","1","100","Winning","CLAIM","Want My Team To Build You An e-Commerce Business","0% of body words","N (UNSIZED)","10","Y","103675148","Ecom Accelerator","BRAND (managed/profit-share)","UNSIZED","Want My Team To Build You An e-Commerce Business?","plain category promise; line 2 defers the how ("">>> Here’s how this works…"")","A >=45d","PB-07;PB-02;PB-05;PB-01","search_ads active"
"IM-03@NW-NEW-SEED-03","NW-NEW-SEED-03","87","inactive (same-body twins active @32-35d)","2 (+7 collapsed; es translation 59411595 @78d)","NULL (twins 100)","NULL (twins Winning)","ENLARGED-CLAIM","STOP buying courses! I’ll design you a beautiful eCommerce store from scratch for just $20!","3% of body words","N (UNSIZED)","11","Y","74657770 (active twins 150503331/151824680)","Done for you brands","BRAND","UNSIZED","Get A Pre-Built Ecom Website For Just $20!","price/quantity-anchored category promise; names the failed solution (courses), no how","A >=45d","PB-01;PB-05;PB-03","02 IM-02..04 + search_ads"
"IM-05@NW-NEW-SEED-03","NW-NEW-SEED-03","77","inactive","1","NULL","NULL (inactive)","MECHANISM","People are stealing your money. And it’s legal.","39% of body words","N (UNSIZED)","12","Y","59618906","Done for you brands","BRAND","UNSIZED","People are stealing your money. And it’s legal.","new-information lead naming a hidden cause/how (middleman loophole)","A >=45d","PB-02;PB-01","02 IM-05 + get_ad"
"IM-02@NW-NEW-SEED-01","NW-NEW-SEED-01","47","inactive — NW DORMANT","1 (+2 identical-body siblings)","NULL","NULL (inactive)","ENLARGED-CLAIM","We were named the #1 Commerce Coach in North America by Shopify.","6% of body words","N (UNSIZED)","13","Y","97210901","Ecom Websites","BRAND (DORMANT)","UNSIZED","Free Done For You eCommerce Store","superlative authority + free; Shopify-commission mechanism only in line 5","A >=45d","PB-01;PB-03","02 IM-02 + get_ad"
"IM-01@NW-SEED-03","NW-SEED-03","36","active","NULL — searched","NULL — searched","NULL — searched (Meta)","CLAIM","Launch Your Amazon Store with Confidence","UNKNOWN — body NOT OPENED (Meta title only)","N (UNSIZED)","14","Y","1376173990650081 (Meta)","Ecomxpertz","BRAND","UNSIZED","Launch Your Amazon Store with Confidence","Meta ad_creative_link_title only (body NOT OPENED — tool); plain outcome claim","B 30-44d","PB-01","02 IM-01 (Meta ad_delivery_start_time)"
