"row_type","id","text_or_poles","source","population_id","rung","surface_or_deep","md_id","cut_kind","corpus","label","strict_label","class","research_priority","authors_M","authors_O","authors_PT","authors_T","threads_T","units_T","obs_T","emotion_n","fear_n","blocks_desire_n","problem_proxy_n","scene_n","trigger_n","seeker_n","heat_n","persistent_span","source_types_n","contexts_n","conditions_met","magnitude_band","heat_band","advertiser_vd","advertiser_label","networks_above_floor","lf8_roots","product_leverage","confidence"
"DS","DS-01","""I'm actually thinking to, you know, replace my job""","Q-O-0053","CP-01|CP-04","mass_desire","DEEP","MD-01","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-02","""I wish I was doing something else""","Q-O-0096","CP-01","mass_desire","DEEP","MD-01","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-03","[D] turn this side hustle into a main job — work anywhere, not worry","Q-O-0105","CP-04","mass_desire","DEEP","MD-01","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-04","""To make 100% of my salary and above from it.""","Q-O-0176","CP-01","mass_desire","DEEP","MD-01","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-05","[D] something different, rather than the same old crap","Q-O-0180","NULL","mass_desire","DEEP","MD-01","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-06","""I'm looking for a steady income""","Q-O-0109","CP-01","broader_outcome","SURFACE","MD-01","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-07","""I want a stable income flow""","Q-O-0046","CP-01","broader_outcome","SURFACE","MD-01","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-08","""Take-home pay would be around $2,500.""","Q-O-0150","CP-01","functional_outcome","SURFACE","MD-01","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-09","""As a side hustle.""","Q-O-0174","CP-01","immediate_result","SURFACE","MD-01","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS","DS-10","""Just something on the side hustle.""","Q-O-0175","NULL","immediate_result","SURFACE","MD-01","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
